24seven|24seven is a boutique bike company that handcrafts high-performance road, mountain, and gravel bikes in Colorado. Using premium materials like titanium, carbon fiber, and steel, their bikes are renowned for their exceptional ride quality, durability, and customizability.
333Fab|333Fab is a boutique bike company known for its handcrafted, high-performance bicycles. Founded in Portland, Oregon, the company specializes in custom-made road, gravel, and mountain bikes. Each frame is meticulously engineered using lightweight materials and advanced manufacturing techniques, resulting in bikes that are both responsive and durable. 333Fab's commitment to innovation and attention to detail has garnered a loyal following among cycling enthusiasts.
3G|3G is a premium bike company founded in 2014, specializing in high-performance road and mountain bikes. With a commitment to innovation and craftsmanship, 3G creates lightweight, durable bikes designed for both professional racers and recreational enthusiasts. Their bikes are renowned for their advanced carbon fiber frames, precision components, and exceptional ride quality.
3T|3T is an Italian bicycle company founded in 1997, renowned for its innovative and high-performance road and gravel bikes. With a focus on aerodynamics, materials science, and engineering excellence, 3T produces bikes known for their exceptional stiffness, weight reduction, and ride quality.
3rd Eye|3rd Eye is a boutique custom bike company based in Portland, Oregon, specializing in unique, handmade steel and titanium bikes tailored to each rider's needs. Known for their attention to detail, craftsmanship, and innovative designs, 3rd Eye bikes are highly sought after by discerning cyclists seeking a truly personalized riding experience.
3rensho|3rensho is a Japanese bicycle company founded in 1927. They specialize in high-quality, handcrafted bicycles made with precision and attention to detail. Known for their lightweight frames and sleek designs, 3rensho bikes are popular among cyclists seeking a blend of performance and elegance.
45North|45North is a bicycle manufacturing company based in Finland. Founded in 2014, it specializes in high-performance carbon fiber bikes designed for racing and competitive cycling. 45North bikes are known for their lightweight frames, innovative design, and attention to detail.
4ZA|4ZA is a cutting-edge bike company dedicated to creating innovative and high-performance bicycles. With a focus on sustainability and technological advancements, 4ZA's bikes are designed to meet the demands of discerning cyclists seeking the ultimate riding experience.
6KU|6KU is a Brooklyn-based fixed-gear and single-speed bike company founded in 2010. Known for its affordable, stylish, and durable bikes, 6KU aims to promote urban cycling and make fixed-gear bikes accessible to a wider audience. It offers a range of bikes designed for both casual riders and enthusiasts, featuring sleek aesthetics and high-quality components.
9 zero 7|9Zero7 is a premium urban cycling brand based in Los Angeles, California. Founded in 2012, they design and manufacture high-performance bikes tailored to the needs of urban commuters and enthusiasts. Their bikes are renowned for their sleek aesthetics, innovative features, and exceptional craftsmanship.
A-Class|A-Class Bikes, renowned for its exceptional craftsmanship and cutting-edge designs, is a premier bike manufacturer. Their bikes boast advanced materials, innovative engineering, and meticulous attention to detail. Whether it's road, mountain, or urban cycling, A-Class delivers high-performance bikes that empower riders to conquer any terrain with confidence.
A-bike|A-bike is a renowned bike company specializing in innovative and high-performance electric bikes. Driven by a passion for sustainable mobility, they offer a range of models designed for urban commuting, mountain biking, and long-distance riding. A-bike's bikes feature advanced technology, including powerful motors, long-lasting batteries, and smart displays. Their commitment to quality and customer satisfaction has made them a trusted brand in the e-bike industry.
A2B e-bikes|A2B e-bikes is a company that designs, manufactures, and sells electric bicycles. The company's mission is to make cycling more accessible and enjoyable for everyone. A2B e-bikes are known for their high quality, innovative design, and excellent customer service. The company offers a range of e-bikes to suit every need and budget, from commuter bikes to mountain bikes.
ABI|ABI, formerly known as Raleigh Bicycle Company and currently known as Dutch Bike Co., is a Dutch bicycle manufacturing company. Founded in 1885, ABI has been producing bicycles for over 130 years, making it one of the oldest bicycle companies in the world. Today, ABI is known for its high-quality city and trekking bikes.
ACS|ACS (Advanced Composite Solutions) is a UK-based bike company specializing in carbon fiber frames and components. Known for its high-performance road and mountain bikes, ACS prioritizes stiffness, weight reduction, and durability in its designs. The company's custom frame-building service allows riders to tailor their bikes to their specific needs.
AGang|AGang is a Chinese electric bike company known for its stylish and high-performance e-bikes. Founded in 2014, AGang's e-bikes feature advanced technology, innovative designs, and exceptional durability. With a focus on urban commuting and leisure riding, AGang's e-bikes offer riders a convenient, sustainable, and enjoyable way to navigate their city streets.
ALAN|ALAN, founded in 1979, is an Italian premium bicycle manufacturer known for its handcrafted, custom-made carbon fiber frames. Specializing in road and off-road bikes, ALAN combines advanced technology with meticulous craftsmanship, ensuring exceptional performance and a unique riding experience for discerning cyclists.
AMF|AMF (American Machine and Foundry Company) began producing bicycles in the 1930s, becoming one of the largest bike manufacturers in the United States. Known for its Schwinn brand, AMF also produced Roadmaster, Huffy, and Murray bicycles. In the 1970s, AMF faced financial difficulties and sold its Schwinn division to Edward Schwinn & Company, while Roadmaster and Huffy became independent companies.
AVANTREK|AVANTREK is a leading electric bike company that designs, manufactures, and sells premium e-bikes. Known for their sleek designs, advanced technology, and reliable performance, AVANTREK e-bikes are engineered to provide an effortless and enjoyable riding experience. The company is committed to innovation and sustainability, offering a wide range of e-bikes tailored to various needs and preferences.
AXA|AXA is not a bike company. AXA is a multinational insurance company headquartered in Paris, France.
Aardvark|Aardvark is a reputable bike company known for producing high-quality mountain bikes. Their bikes are designed with durability, performance, and comfort in mind. Aardvark bikes are suitable for both recreational and competitive cyclists and come in various models to meet different riding styles and preferences.
Abici|Abici, an Italian bike company founded in 1938, specializes in crafting high-performance road and mountain bikes. Their frames are renowned for their exceptional design, lightweight construction, and responsive handling, thanks to the use of advanced materials and innovative technologies. Abici bikes have been the choice of professional cyclists and enthusiasts alike, helping them achieve victories and explore new terrains with confidence.
Abus|Abus is a German manufacturer of security products, including high-quality bike locks and helmets. Founded in 1924, Abus has a long history of innovation and is known for its durable and reliable products. Its bike locks are designed to protect against various theft methods, and its helmets meet rigorous safety standards.
Accelerade|Accelerade is a bike company that manufactures and sells high-performance bicycles and components. The company is based in Santa Cruz, California, and its products are known for their innovative design, lightweight construction, and durability. Accelerade bikes are used by professional cyclists and recreational riders alike, and the company offers a wide range of models to suit different needs and budgets.
Accell|Accell Group, based in the Netherlands, is a leading global bicycle manufacturer. Founded in 1896, the company produces a wide range of bikes under renowned brands such as Sparta, Batavus, Koga, and Babboe. Accell is known for its innovative designs, advanced technology, and commitment to sustainability.
Access|Access is a German bike company founded in 1989. It is known for producing high-quality, durable, and innovative e-bikes, mountain bikes, and road bikes. Access bikes are designed to provide a comfortable and enjoyable riding experience, with a focus on performance and reliability.
Acros|Acros is a German bike components company founded in 1995. They specialize in high-quality, lightweight, and durable components for mountain bikes, road bikes, and e-bikes. Acros is known for their innovative designs and precision engineering, and their products are used by many top professional cyclists.
Acstar|Acstar, a renowned bike company, specializes in designing and manufacturing high-performance, premium-quality bicycles. Known for their innovative engineering and meticulous attention to detail, Acstar bikes are crafted with advanced materials and components, offering a superior riding experience whether navigating urban streets or tackling rugged trails.
Adams (Trail a bike)|Adams Trail-a-Bike specializes in tandem bicycles that enable children to ride alongside adults. These innovative bikes provide a safe and enjoyable way for kids to learn balance and coordination while participating in family cycling adventures.
Adolphe Clément|"Adolphe Clément was a French bicycle manufacturer who founded his company in 1902. Clément bikes gained popularity for their high quality and advanced designs, including the innovative ""Clément-Gladiator"" racing bicycle. The company also produced motorcycles and automobiles, and merged with the British firm Armstrong Siddeley in 1931."
Advantrek|Advantrek, founded in 2010, is a renowned bike company specializing in crafting high-performance electric and traditional bicycles. Their bikes are designed for adventure seekers and commuting enthusiasts, offering premium features, reliable construction, and stylish aesthetics.
